font,codepoint,stroke,confidence,apex_score,tail_source,rare_orientation,off_ink_tail
Assurbanipal,0x12001,1,0.7114,0.8161,network,0,0
Assurbanipal,0x12001,2,0.825,0.8783,network,0,0
Assurbanipal,0x12001,3,0.3502,0.7899,network,0,0
Assurbanipal,0x12001,4,0.1529,0.8706,network,0,0
Assurbanipal,0x12001,5,0.3482,0.8824,network,0,0
Assurbanipal,0x12001,6,0.7889,0.8457,network,0,0
Assurbanipal,0x12002,1,0.7596,0.8368,network,0,0
Assurbanipal,0x12002,2,0.6728,0.812,skeleton,0,0
Assurbanipal,0x12002,3,0.0047,0.7326,network,1,0
Assurbanipal,0x12002,4,0.4446,0.8832,network,0,0
Assurbanipal,0x12002,5,0.7994,0.8408,network,0,0
Assurbanipal,0x12004,1,0.705,0.796,skeleton,0,0
Assurbanipal,0x12004,2,0.6179,0.8492,network,0,0
Assurbanipal,0x12004,3,0.777,0.9493,network,0,0
Assurbanipal,0x12004,4,0.014,0.7614,network,0,0
Assurbanipal,0x12004,5,0.756,0.9239,skeleton,0,0
Assurbanipal,0x12004,6,0.871,0.9406,network,0,0
Assurbanipal,0x12004,7,0.3851,0.8573,network,0,0
Assurbanipal,0x12004,8,0.6118,0.8597,network,0,0
Assurbanipal,0x12005,1,0.7516,0.7915,network,0,0
Assurbanipal,0x12005,2,0.8434,0.8762,network,0,0
Assurbanipal,0x12005,3,0.2798,0.8791,network,0,0
Assurbanipal,0x12005,4,0.6142,0.8828,network,0,0
Assurbanipal,0x12005,5,0.3886,0.9176,network,0,0
Assurbanipal,0x12005,6,0.6562,0.8522,network,0,0
Assurbanipal,0x12006,1,0.7402,0.7402,skeleton,0,0
Assurbanipal,0x12006,2,0.6429,0.8093,network,0,0
Assurbanipal,0x12006,3,0.6859,0.8715,network,0,0
Assurbanipal,0x12006,4,0.4069,0.8745,network,0,0
Assurbanipal,0x12006,5,0.6943,0.849,network,0,0
Assurbanipal,0x12006,6,0.841,0.9005,network,0,0
Assurbanipal,0x12006,7,0.8421,0.8444,network,0,0
Assurbanipal,0x12006,8,0.7652,0.8368,network,0,0
Assurbanipal,0x12006,9,0.6914,0.8387,network,0,0
Assurbanipal,0x12006,10,0.3794,0.8926,network,0,0
Assurbanipal,0x12007,1,0.5336,0.7659,network,0,0
Assurbanipal,0x12007,2,0.5545,0.9009,network,0,0
Assurbanipal,0x12007,3,0.6943,0.8093,network,0,0
Assurbanipal,0x12007,4,0.8413,0.8413,network,0,0
Assurbanipal,0x12007,5,0.7642,0.7642,network,0,0
Assurbanipal,0x12007,6,0.2576,0.78,skeleton,0,0
Assurbanipal,0x12007,7,0.7506,0.7876,network,0,0
Assurbanipal,0x12007,8,0.8284,0.8284,network,0,0
Assurbanipal,0x12007,9,0.0839,0.7553,network,0,0
Assurbanipal,0x12007,10,0.0457,0.717,network,0,0
Assurbanipal,0x12007,11,0.3914,0.8895,network,0,0
Assurbanipal,0x12007,12,0.7553,0.8434,skeleton,0,0
Assurbanipal,0x12008,1,0.6252,0.8421,network,0,0
Assurbanipal,0x12008,2,0.6606,0.6606,network,0,0
Assurbanipal,0x12008,3,0.668,0.6788,skeleton,0,0
Assurbanipal,0x12008,4,0.7592,0.7592,network,0,0
Assurbanipal,0x12008,5,0.1547,0.8575,network,0,0
Assurbanipal,0x12008,6,0.7078,0.7698,network,0,0
Assurbanipal,0x12008,7,0.6275,0.6379,network,0,0
Assurbanipal,0x12008,8,0.6684,0.756,network,0,0
Assurbanipal,0x12008,9,0.6482,0.7009,network,0,0
Assurbanipal,0x12008,10,0.3193,0.8643,network,0,0
Assurbanipal,0x1200b,1,0.7574,0.8149,network,0,0
Assurbanipal,0x1200b,2,0.7574,0.8824,network,0,0
Assurbanipal,0x1200b,3,0.6522,0.8449,network,0,0
Assurbanipal,0x1200b,4,0.6025,0.8193,network,0,0
Assurbanipal,0x1200b,5,0.3225,0.7114,network,0,0
Assurbanipal,0x1200b,6,0.6128,0.6128,network,0,0
Assurbanipal,0x1200c,1,0.0475,0.8292,network,0,0
Assurbanipal,0x1200c,2,0.5366,0.7684,network,0,0
Assurbanipal,0x1200c,3,0.6142,0.8273,network,0,0
Assurbanipal,0x1200c,4,0.637,0.7142,skeleton,0,0
Assurbanipal,0x1200c,5,0.4429,0.7883,skeleton,0,0
Assurbanipal,0x1200c,6,0.4158,0.8895,skeleton,0,0
Assurbanipal,0x1200c,7,0.5675,0.906,network,0,0
Assurbanipal,0x1200c,8,0.7873,0.9292,network,0,0
Assurbanipal,0x1200c,9,0.05,0.8132,network,0,1
Assurbanipal,0x1200c,10,0.05,0.8852,network,0,1
Assurbanipal,0x1200c,11,0.8314,0.8808,network,0,0
Assurbanipal,0x1200c,12,0.7013,0.8903,skeleton,0,0
Assurbanipal,0x1200c,13,0.779,0.9329,network,0,0
Assurbanipal,0x1200c,14,0.7311,0.9023,network,0,0
Assurbanipal,0x1200d,1,0.0505,0.7759,network,0,0
Assurbanipal,0x1200d,2,0.65,0.8161,skeleton,0,0
Assurbanipal,0x1200d,3,0.5117,0.7589,network,0,0
Assurbanipal,0x1200d,4,0.6676,0.784,skeleton,0,0
Assurbanipal,0x1200d,5,0.4625,0.7413,skeleton,0,0
Assurbanipal,0x1200d,6,0.6602,0.8492,network,0,0
Assurbanipal,0x1200d,7,0.8601,0.8783,network,0,0
Assurbanipal,0x1200d,8,0.717,0.8922,skeleton,0,0
Assurbanipal,0x1200d,9,0.8056,0.8791,network,0,0
Assurbanipal,0x1200d,10,0.6002,0.8736,network,0,0
Assurbanipal,0x1200d,11,0.7375,0.7642,network,0,0
Assurbanipal,0x1200e,1,0.0222,0.7659,network,0,0
Assurbanipal,0x1200e,2,0.6527,0.7925,network,0,0
Assurbanipal,0x1200e,3,0.0556,0.7944,network,0,0
Assurbanipal,0x1200e,4,0.6935,0.7701,skeleton,0,0
Assurbanipal,0x1200e,5,0.6011,0.6964,skeleton,0,0
Assurbanipal,0x1200e,6,0.54,0.9287,network,0,0
Assurbanipal,0x1200e,7,0.7276,0.8693,network,0,0
Assurbanipal,0x1200e,8,0.7337,0.9472,network,0,0
Assurbanipal,0x1200e,9,0.7531,0.8783,network,0,0
Assurbanipal,0x1200e,10,0.1455,0.9281,network,0,0
Assurbanipal,0x1200e,11,0.3914,0.903,network,0,0
Assurbanipal,0x1200e,12,0.696,0.7364,network,0,0
Assurbanipal,0x12010,1,0.719,0.8084,skeleton,0,0
Assurbanipal,0x12010,2,0.3659,0.7542,skeleton,0,0
Assurbanipal,0x12010,3,0.6901,0.8652,network,0,0
Assurbanipal,0x12010,4,0.6676,0.859,skeleton,0,0
Assurbanipal,0x12010,5,0.5775,0.5775,skeleton,0,0
Assurbanipal,0x12010,6,0.004,0.5894,network,0,0
Assurbanipal,0x12010,7,0.005,0.8405,network,0,0
Assurbanipal,0x12010,8,0.7753,0.9005,network,0,0
Assurbanipal,0x12010,9,0.7574,0.7574,network,0,0
Assurbanipal,0x12010,10,0.566,0.6091,network,0,0
Assurbanipal,0x12010,11,0.5655,0.8973,network,0,0
Assurbanipal,0x12010,12,0.7082,0.8413,network,0,0
Assurbanipal,0x12010,13,0.6719,0.8779,skeleton,0,0
Assurbanipal,0x12010,14,0.7341,0.7659,skeleton,0,0
Assurbanipal,0x12011,1,0.0435,0.7256,network,0,0
Assurbanipal,0x12011,2,0.5059,0.7461,network,0,0
Assurbanipal,0x12011,3,0.3262,0.7783,network,0,0
Assurbanipal,0x12011,4,0.6809,0.7524,network,0,0
Assurbanipal,0x12011,5,0.6602,0.8108,network,0,0
Assurbanipal,0x12011,6,0.7276,0.9173,network,0,0
Assurbanipal,0x12011,7,0.7589,0.9099,network,0,0
Assurbanipal,0x12011,8,0.0277,0.9605,network,0,0
Assurbanipal,0x12011,9,0.8132,0.8955,network,0,0
Assurbanipal,0x12011,10,0.0006,0.9543,network,0,0
Assurbanipal,0x12011,11,0.7299,0.93,network,0,0
Assurbanipal,0x12011,12,0.7982,0.9673,network,0,0
Assurbanipal,0x12011,13,0.6939,0.7817,network,0,0
Assurbanipal,0x12012,1,0.0202,0.8069,network,0,0
Assurbanipal,0x12012,2,0.6736,0.8325,skeleton,0,0
Assurbanipal,0x12012,3,0.4076,0.8292,network,0,0
Assurbanipal,0x12012,4,0.6641,0.7803,skeleton,0,0
Assurbanipal,0x12012,5,0.5569,0.6719,skeleton,0,0
Assurbanipal,0x12012,6,0.2458,0.8544,skeleton,0,0
Assurbanipal,0x12012,7,0.4185,0.7766,skeleton,0,0
Assurbanipal,0x12012,8,0.7154,0.8371,network,0,0
Assurbanipal,0x12012,9,0.7154,0.7698,network,0,0
Assurbanipal,0x12013,1,0.0174,0.7763,network,0,0
Assurbanipal,0x12013,2,0.6238,0.8292,network,0,0
Assurbanipal,0x12013,3,0.0619,0.8117,network,0,0
Assurbanipal,0x12013,4,0.6749,0.8029,skeleton,0,0
Assurbanipal,0x12013,5,0.4693,0.7843,skeleton,0,0
Assurbanipal,0x12013,6,0.6211,0.8666,network,0,0
Assurbanipal,0x12013,7,0.356,0.8078,skeleton,0,0
Assurbanipal,0x12013,8,0.5689,0.8416,network,0,0
Assurbanipal,0x12013,9,0.596,0.9602,network,0,0
Assurbanipal,0x12013,10,0.6885,0.9076,network,0,0
Assurbanipal,0x12013,11,0.6137,0.7553,network,0,0
Assurbanipal,0x12013,12,0.0002,0.967,network,0,1
Assurbanipal,0x12013,13,0.5617,0.8895,network,0,0
Assurbanipal,0x12013,14,0.0027,0.9225,skeleton,0,0
Assurbanipal,0x12013,15,0.0232,0.9732,network,0,1
Assurbanipal,0x12013,16,0.0,0.6192,network,1,1
Assurbanipal,0x12013,17,0.0472,0.6451,network,0,0
Assurbanipal,0x12013,18,0.7284,0.7502,network,0,0
Assurbanipal,0x12014,1,0.6597,0.8534,skeleton,0,0
Assurbanipal,0x12014,2,0.0241,0.7957,network,0,0
Assurbanipal,0x12014,3,0.2644,0.7813,network,0,0
Assurbanipal,0x12014,4,0.5894,0.6442,skeleton,0,0
Assurbanipal,0x12014,5,0.0095,0.7194,network,0,0
Assurbanipal,0x12014,6,0.3244,0.8182,network,0,0
Assurbanipal,0x12014,7,0.4111,0.6972,network,0,0
Assurbanipal,0x12014,8,0.4815,0.7542,network,0,0
Assurbanipal,0x12014,9,0.7276,0.7428,network,0,0
Assurbanipal,0x12015,1,0.3831,0.7628,skeleton,0,0
Assurbanipal,0x12015,2,0.7166,0.7759,network,0,0
Assurbanipal,0x12015,3,0.0013,0.6433,network,0,0
Assurbanipal,0x12015,4,0.4196,0.7652,network,0,0
Assurbanipal,0x12015,5,0.5804,0.7763,network,0,0
Assurbanipal,0x12015,6,0.1388,0.8016,network,0,0
Assurbanipal,0x12015,7,0.4458,0.7807,network,0,0
Assurbanipal,0x12015,8,0.5964,0.8363,network,0,0
Assurbanipal,0x12015,9,0.7823,0.8657,network,0,0
Assurbanipal,0x12017,1,0.5078,0.8331,network,0,0
Assurbanipal,0x12017,2,0.522,0.8643,skeleton,0,0
Assurbanipal,0x12017,3,0.6225,0.8418,skeleton,0,0
Assurbanipal,0x12017,4,0.0013,0.8355,network,0,1
Assurbanipal,0x12017,5,0.5703,0.8472,network,0,0
Assurbanipal,0x12017,6,0.0017,0.7268,network,0,0
Assurbanipal,0x12017,7,0.6702,0.809,skeleton,0,0
Assurbanipal,0x12017,8,0.4199,0.9076,network,0,0
Assurbanipal,0x12017,9,0.0011,0.8403,network,0,0
Assurbanipal,0x12017,10,0.05,0.9124,skeleton,0,1
Assurbanipal,0x12017,11,0.7001,0.8911,network,0,0
Assurbanipal,0x12018,1,0.6275,0.8333,network,0,0
Assurbanipal,0x12018,2,0.7029,0.8143,skeleton,0,0
Assurbanipal,0x12018,3,0.4576,0.7345,network,0,0
Assurbanipal,0x12018,4,0.5612,0.9099,skeleton,0,0
Assurbanipal,0x12018,5,0.5501,0.8899,skeleton,0,0
Assurbanipal,0x12018,6,0.0209,0.9536,network,0,0
Assurbanipal,0x12018,7,0.6922,0.8872,network,0,0
Assurbanipal,0x12018,8,0.0003,0.8864,network,0,0
Assurbanipal,0x12018,9,0.4005,0.8941,network,0,0
Assurbanipal,0x12019,1,0.5936,0.9026,network,0,0
Assurbanipal,0x12019,2,0.6105,0.8019,skeleton,0,0
Assurbanipal,0x12019,3,0.4251,0.7624,skeleton,0,0
Assurbanipal,0x12019,4,0.7925,0.9199,skeleton,0,0
Assurbanipal,0x12019,5,0.3467,0.8634,skeleton,0,0
Assurbanipal,0x12019,6,0.7033,0.8864,network,0,0
Assurbanipal,0x12019,7,0.7969,0.9202,skeleton,0,0
Assurbanipal,0x12019,8,0.324,0.9419,network,0,0
Assurbanipal,0x12019,9,0.0022,0.8706,network,0,0
Assurbanipal,0x1201a,1,0.715,0.8723,network,0,0
Assurbanipal,0x1201a,2,0.6567,0.8505,network,0,0
Assurbanipal,0x1201a,3,0.6889,0.7628,network,0,0
Assurbanipal,0x1201a,4,0.1014,0.9618,network,0,0
Assurbanipal,0x1201a,5,0.8102,0.908,network,0,0
Assurbanipal,0x1201a,6,0.8029,0.9388,skeleton,0,0
Assurbanipal,0x1201a,7,0.6234,0.905,network,0,0
Assurbanipal,0x1201a,8,0.65,0.9026,network,0,0
