font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes
Esagil,0x12172,KA TIMES LI,0.0032,17,7,,
Esagil,0x1215c,KA TIMES BAD,0.0001,9,5,,
Esagil,0x12258,NINDA2 TIMES NE,0.0026,14,5,,
Esagil,0x12340,URU TIMES GU,0.0,11,4,,
Esagil,0x1200f,AB TIMES HA,0.0,11,3,,
Esagil,0x1201a,AB2 TIMES SHA3,0.0011,9,3,,
Esagil,0x1202c,AMAR TIMES SHE,0.0001,9,3,,
Esagil,0x12088,DUN4,0.0002,15,3,,
Esagil,0x120e3,GA2 TIMES SAL,0.0013,9,3,,
Esagil,0x120fd,GASHAN,0.0002,6,3,,
Esagil,0x12103,GI CROSSING GI,0.0,10,3,,
Esagil,0x12107,GIDIM,0.0001,11,3,,
Esagil,0x1210b,GIR3 TIMES A PLUS IGI,0.0,12,3,,
Esagil,0x12124,GUM TIMES SHE,0.0004,11,3,,
Esagil,0x12164,KA TIMES GAN2 TENU,0.0003,13,3,,
Esagil,0x1223b,MUSH3 TIMES A PLUS DI,0.0,14,3,,
Esagil,0x122c0,SHESH,0.0004,7,3,,
Esagil,0x1230c,U GUD,0.0,6,3,,
Esagil,0x12032,ANSHE,0.0001,9,2,,
Esagil,0x12044,BAL,0.0001,6,2,,
Esagil,0x12046,BALAG,0.0027,12,2,,
Esagil,0x12049,BI,0.0048,5,2,,
Esagil,0x1207d,DU SHESHIG,0.0001,9,2,,
Esagil,0x12081,DUG,0.0,9,2,,
Esagil,0x120a6,EZEN TIMES BAD,0.0001,10,2,,
Esagil,0x120ee,GABA,0.0,8,2,,
Esagil,0x120f8,GAN2 TENU,0.0001,6,2,,
Esagil,0x12118,GU2 & UN,0.0012,7,2,,
Esagil,0x12130,HI TIMES BAD,0.0013,6,2,,
Esagil,0x12174,KA TIMES ME,0.0004,9,2,,
Esagil,0x1217e,KA TIMES SA,0.0001,13,2,,
Esagil,0x1219b,KAM4,0.0029,12,2,,
Esagil,0x121b0,KUL,0.0002,4,2,,
Esagil,0x121fc,LU TIMES BAD,0.0,9,2,,
Esagil,0x1227c,PAN,0.0023,5,2,,
Esagil,0x1228c,PIRIG TIMES UD,0.0,9,2,,
Esagil,0x122da,SHUBUR,0.0005,11,2,,
Esagil,0x122fb,TAR,0.0,4,2,,
Esagil,0x122fe,TI TENU,0.0,5,2,,
Esagil,0x1234f,URUDA,0.0,7,2,,
Esagil,0x12020,AL,0.0,7,1,,
Esagil,0x12041,BAD,0.0006,2,1,,
Esagil,0x12084,DUN,0.0,9,1,,
Esagil,0x1208a,E,0.0,5,1,,
Esagil,0x12096,EL,0.0006,8,1,,
Esagil,0x12098,EN TIMES GAN2,0.0009,12,1,,
Esagil,0x120bc,GA2 TIMES AN,0.0006,8,1,,
Esagil,0x120f4,GALAM,0.0006,6,1,,
