x,y,label
70.21997537463126,99.14695606111803,Stroke 1
68.1000641369324,125.05227668695858,Stroke 1
80.05523681640625,113.935546875,Stroke 1
110.696208588347,115.89658371758328,Stroke 1
103.07110681482288,87.71905357879645,Stroke 2
129.0402417168671,89.70966251313489,Stroke 2
114.35107421875,98.435546875,Stroke 2
113.77163057242667,128.89006878878436,Stroke 2
121.9140625,121.5625,Stroke 3
104.03928040547454,142.12421709454324,Stroke 3
117.07977294921875,140.7510986328125,Stroke 3
125.8307616997007,147.76628927386375,Stroke 3
128.2890625,107.0390625,Stroke 4
125.01650784469457,125.99911769738493,Stroke 4
135.8818359375,117.006103515625,Stroke 4
155.75630453104327,115.05047767563569,Stroke 4
152.93323039184574,88.0077242091811,Stroke 5
133.85474234751842,107.23336450006843,Stroke 5
148.07708740234375,107.4150390625,Stroke 5
155.75630453104327,115.05047767563569,Stroke 5
158.04233202847604,89.82913344249724,Stroke 6
183.9199236374308,92.0978965602218,Stroke 6
168.01898193359375,103.30517578125,Stroke 6
168.18450006310647,145.8554040377438,Stroke 6
186.7907609302086,104.59361598755093,Stroke 7
171.0955397489551,117.0647728766772,Stroke 7
179.06097412109375,119.22705078125,Stroke 7
184.04452113322125,127.94448548675504,Stroke 7
