x,y,label
91.10599342795419,115.97778973520599,Stroke 1
87.18058786331713,129.77224855912058,Stroke 1
97.8341064453125,119.74658203125,Stroke 1
112.06724960072215,120.03122432732019,Stroke 1
89.92723250171949,96.99659664396198,Stroke 2
91.10599342795419,115.97778973520599,Stroke 2
99.815185546875,110.41357421875,Stroke 2
112.83090593323978,111.04353839508993,Stroke 2
114.15445496433622,123.01326266870922,Stroke 3
109.33936556208505,140.97023751095463,Stroke 3
122.162841796875,130.29052734375,Stroke 3
166.91118345729862,131.05712705697027,Stroke 3
114.94191748844726,109.06017636492874,Stroke 4
114.15445496433622,123.01326266870922,Stroke 4
123.163818359375,115.0732421875,Stroke 4
128.88358218681068,116.16459034227296,Stroke 4
111.99239764082463,87.10974246088047,Stroke 5
114.94191748844726,109.06017636492874,Stroke 5
125.23681640625,102.89501953125,Stroke 5
165.97521896767805,102.22809955152182,Stroke 5
128.9315817578064,107.13754379253537,Stroke 6
126.9819937222394,123.74220782929434,Stroke 6
135.99713134765625,116.5,Stroke 6
167.00658652460345,116.07257167564136,Stroke 6
