label,i,j
Stroke 1,4,0
Stroke 1,4,1
Stroke 1,4,2
Stroke 1,0,1
Stroke 10,4,0
Stroke 10,4,1
Stroke 10,4,2
Stroke 10,0,1
Stroke 11,5,0
Stroke 11,5,1
Stroke 11,5,2
Stroke 11,1,2
Stroke 12,4,0
Stroke 12,4,1
Stroke 12,4,2
Stroke 12,0,1
Stroke 2,4,0
Stroke 2,4,1
Stroke 2,4,2
Stroke 2,1,2
Stroke 3,4,0
Stroke 3,4,1
Stroke 3,4,2
Stroke 3,1,2
Stroke 4,2,0
Stroke 4,2,1
Stroke 4,2,3
Stroke 4,0,1
Stroke 5,3,0
Stroke 5,3,1
Stroke 5,3,2
Stroke 5,0,1
Stroke 6,2,0
Stroke 6,2,1
Stroke 6,2,3
Stroke 6,0,1
Stroke 7,4,0
Stroke 7,4,1
Stroke 7,4,2
Stroke 7,0,1
Stroke 8,2,0
Stroke 8,2,1
Stroke 8,2,3
Stroke 8,0,1
Stroke 9,2,0
Stroke 9,2,1
Stroke 9,2,3
Stroke 9,0,1
