label,i,j
Stroke 1,2,0
Stroke 1,2,1
Stroke 1,0,1
Stroke 10,2,0
Stroke 10,2,1
Stroke 10,2,3
Stroke 10,0,1
Stroke 11,2,0
Stroke 11,2,1
Stroke 11,2,3
Stroke 11,0,1
Stroke 12,2,0
Stroke 12,2,1
Stroke 12,2,3
Stroke 12,1,3
Stroke 13,2,0
Stroke 13,2,1
Stroke 13,2,3
Stroke 13,0,1
Stroke 14,2,0
Stroke 14,2,1
Stroke 14,2,3
Stroke 14,0,1
Stroke 15,2,0
Stroke 15,2,1
Stroke 15,2,3
Stroke 15,0,1
Stroke 16,2,0
Stroke 16,2,1
Stroke 16,2,3
Stroke 16,0,1
Stroke 2,2,0
Stroke 2,2,1
Stroke 2,2,3
Stroke 2,1,3
Stroke 3,2,0
Stroke 3,2,1
Stroke 3,2,3
Stroke 3,0,1
Stroke 4,2,0
Stroke 4,2,1
Stroke 4,2,3
Stroke 4,0,1
Stroke 5,1,0
Stroke 5,1,2
Stroke 5,1,3
Stroke 5,2,3
Stroke 6,2,0
Stroke 6,2,1
Stroke 6,2,3
Stroke 6,0,1
Stroke 7,2,0
Stroke 7,2,1
Stroke 7,2,3
Stroke 7,0,1
Stroke 8,2,0
Stroke 8,2,1
Stroke 8,2,3
Stroke 8,0,1
Stroke 9,2,0
Stroke 9,2,1
Stroke 9,2,3
Stroke 9,0,1
